"";"decimalLongitude";"site_id";"decimalLatitude";"day";"month";"year";"species_count";"species_list";"gbif_id_list"
"1";2,79125;"2.79125_6.292117_4_3_2019";6,292117;4;3;2019;11;"Hypergerus atriceps,Streptopelia senegalensis,Milvus parasiticus,Cypsiurus parvus,Ploceus cucullatus,Platysteira cyanea,Cinnyris coccinigastrus,Camaroptera brevicaudata,Hirundo rustica,Ptilostomus afer,Eurystomus glaucurus";"3459247884,3459249892,3459360879,3459361919,3459363925,3459365954,3459364958,3459243854,3459368964,3459242836,3459371965"
"2";2,79125;"2.79125_6.625417_14_1_2017";6,625417;14;1;2017;16;"Elanus caeruleus,Centropus senegalensis,Hirundo rustica,Lamprotornis splendidus,Ploceus cucullatus,Pogoniulus bilineatus,Turtur afer,Merops albicollis,Motacilla aguimp,Merops pusillus,Ploceus luteolus,Streptopelia semitorquata,Milvus parasiticus,Dicrurus adsimilis,Campephaga phoenicea,Spermestes cucullata";"3459209259,3459212214,3459208232,3459210217,3459323225,3459324241,3459326257,3459327246,3459203211,3459328247,3459332260,3459207258,3459204234,3459329246,3459330264,3459331252"
"3";2,79125;"2.79125_6.708717_14_1_2017";6,708717;14;1;2017;24;"Terpsiphone rufiventer,Cossypha niveicapilla,Alcedo cristata,Milvus parasiticus,Cyanomitra olivacea,Cecropis abyssinica,Camaroptera brevicaudata,Merops albicollis,Streptopelia semitorquata,Crinifer piscator,Hedydipna collaris,Corvinella corvina,Turtur afer,Centropus senegalensis,Pogoniulus bilineatus,Chlorocichla simplex,Spermestes cucullata,Camaroptera superciliaris,Falco tinnunculus,Prinia subflava,Streptopelia senegalensis,Hirundo rustica,Chrysococcyx cupreus,Thescelocichla leucopleura";"3459209258,3459212212,3459212213,3459211223,3459211224,3459208231,3459210215,3459210216,3459323224,3459324240,3459326256,3459327245,3459325255,3459206203,3459203210,3459328246,3459332259,3459207256,3459207257,3459204232,3459204233,3459205197,3459205198,3459329245"
"4";2,79125;"2.79125_6.792117_1_9_2020";6,792117;1;9;2020;29;"Centropus senegalensis,Poicephalus senegalus,Corvinella corvina,Illadopsis fulvescens,Kaupifalco monogrammicus,Eurystomus glaucurus,Spermestes cucullata,Cisticola brachypterus,Elanus caeruleus,Cinnyris cupreus,Macronyx croceus,Hirundo aethiopica,Cisticola erythrops,Streptopelia senegalensis,Passer griseus,Ploceus nigricollis,Francolinus bicalcaratus,Lamprotornis purpureus,Dicrurus adsimilis,Turtur afer,Cinnyris coccinigastrus,Halcyon senegalensis,Camaroptera brevicaudata,Ploceus cucullatus,Prinia subflava,Streptopelia semitorquata,Cypsiurus parvus,Corvus albus,Phoeniculus purpureus";"3459281884,3459281885,3459281886,3459278841,3459278842,3459278843,3459277823,3459277824,3459280849,3459388833,3459389872,3459394907,3459392903,3459272848,3459273798,3459404938,3459405894,3459405895,3459275869,3459275870,3459275871,3459276812,3459276813,3459276814,3459274827,3459403940,3459403941,3459406890,3459406891"
"5";2,79125;"2.79125_6.875417_1_9_2020";6,875417;1;9;2020;24;"Streptopelia senegalensis,Turdus pelios,Passer griseus,Cinnyricinclus leucogaster,Prinia subflava,Cisticola brachypterus,Camaroptera brevicaudata,Cossypha niveicapilla,Halcyon senegalensis,Terpsiphone rufiventer,Cinnyris coccinigastrus,Dicrurus adsimilis,Cisticola erythrops,Centropus senegalensis,Turtur afer,Ploceus superciliosus,Ptilostomus afer,Tockus nasutus,Spermestes cucullata,Pogoniulus bilineatus,Falco tinnunculus,Hirundo aethiopica,Crinifer piscator,Kaupifalco monogrammicus";"3459281864,3459281865,3459278820,3459278821,3459277802,3459277803,3459280828,3459280829,3459279813,3459388813,3459389849,3459387869,3459394884,3459272829,3459272830,3459404915,3459405875,3459405876,3459275850,3459275851,3459276794,3459274806,3459403921,3459406871"
"6";2,79125;"2.79125_6.958717_20_7_2019";6,958717;20;7;2019;24;"Turtur afer,Streptopelia semitorquata,Chrysococcyx caprius,Pogoniulus bilineatus,Halcyon senegalensis,Vidua macroura,Turdus pelios,Cypsiurus parvus,Euplectes macroura,Prinia subflava,Camaroptera brevicaudata,Cinnyris coccinigastrus,Cinnyris cupreus,Euplectes franciscanus,Francolinus bicalcaratus,Ploceus cucullatus,Eurystomus glaucurus,Spermestes cucullata,Crinifer piscator,Platysteira cyanea,Kaupifalco monogrammicus,Centropus senegalensis,Hypergerus atriceps,Cisticola brachypterus";"3459261601,3459260552,3459260553,3459257542,3459257543,3459258560,3459259525,3459369591,3459372611,3459374635,3459373630,3459373631,3459253562,3459380635,3459380636,3459386607,3459386608,3459256588,3459255523,3459255524,3459381645,3459382647,3459382648,3459385617"
